rank,moki_name,moki_id,score,class,rarity,stat_strength,stat_speed,stat_defense,stat_dexterity,stat_fortitude,image_url,thumbnail_url,category,page,date_scraped
74,SinTank,2485,15635,Striker,Legendary,25.70,293.83,83.54,440.20,266.85,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_d8cb0a32e41ce68f8e6fbccb7ddf32e8732f6a70f9ae35a755b662d39cfcb2cc_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_d8cb0a32e41ce68f8e6fbccb7ddf32e8732f6a70f9ae35a755b662d39cfcb2cc_64x64.png,Champion,1,2026-02-27 07:44 UTC
75,The Destroyer,5232,15600,Striker,Legendary,17.00,215.00,36.00,481.58,211.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_db39eb849e2dd91f23a4e7a96cf5ea3dce05bfbaece1975c3585fece735da69f_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_db39eb849e2dd91f23a4e7a96cf5ea3dce05bfbaece1975c3585fece735da69f_64x64.png,Champion,1,2026-02-27 07:44 UTC
76,Fortune Gobbler,1176,15600,Striker,Legendary,42.00,352.09,47.00,545.71,320.16,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_e8e80db5e14e478dd49e1fae3ed5a3c1647a2351cf00ad56efb93440eecbf95d_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_e8e80db5e14e478dd49e1fae3ed5a3c1647a2351cf00ad56efb93440eecbf95d_64x64.png,Champion,1,2026-02-27 07:44 UTC
77,Stone of David,1749,15520,Striker,Legendary,16.00,347.44,17.00,439.65,229.09,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_96f82d51af19b26c9b29ef07f4a8c1ef632a29dbc5f1094942f1d4d0192c373e_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_96f82d51af19b26c9b29ef07f4a8c1ef632a29dbc5f1094942f1d4d0192c373e_64x64.png,Champion,1,2026-02-27 07:44 UTC
78,Sam Nielbyyy,7247,15515,Defender,Legendary,273.00,348.55,556.46,48.00,45.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_d82ab06ebd9710bea84e8eacf3af371d25771dbb591f9400994836ea3550cfaa_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_d82ab06ebd9710bea84e8eacf3af371d25771dbb591f9400994836ea3550cfaa_64x64.png,Champion,1,2026-02-27 07:44 UTC
79,Mokuhadely,2661,15500,Striker,Legendary,60.00,322.69,83.00,565.27,316.66,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Mokuhadely_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_Mokuhadely_64x64.png,Champion,1,2026-02-27 07:44 UTC
80,Trippy,73,15500,Striker,Legendary,46.00,325.38,50.99,514.28,279.61,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_99b45c6a6ce5734f1afe0c0c0ac6eed00b346267bf54c183147c251482b61327_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_99b45c6a6ce5734f1afe0c0c0ac6eed00b346267bf54c183147c251482b61327_64x64.png,Champion,1,2026-02-27 07:44 UTC
81,Karpathy,6293,15465,Bruiser,Legendary,554.07,32.00,251.01,49.66,233.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_17131971a5991966f0125eca542ca3e663ea7d6bccfed5a97bc57ed05f91cc86_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_17131971a5991966f0125eca542ca3e663ea7d6bccfed5a97bc57ed05f91cc86_64x64.png,Champion,1,2026-02-27 07:44 UTC
82,Fire Moki,5125,15430,Sprinter,Legendary,77.00,576.09,375.05,260.13,86.80,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_FireMoki_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_FireMoki_64x64.png,Champion,1,2026-02-27 07:44 UTC
83,deadlykitten,4246,15400,Striker,Legendary,46.00,326.58,51.00,508.00,350.34,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_e011e379bd81dd0866eebd9d8686794f5ead4bfaec14292d91c4de8396690d0d_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_e011e379bd81dd0866eebd9d8686794f5ead4bfaec14292d91c4de8396690d0d_64x64.png,Champion,1,2026-02-27 07:44 UTC
